iter	Passed	Remaining
0	2	2869
1	5	2787
2	7	2358
3	8	2118
4	10	2015
5	11	1926
6	13	1900
7	14	1849
8	16	1831
9	19	1972
10	21	1932
11	22	1890
12	24	1856
13	25	1824
14	27	1798
15	28	1775
16	30	1747
17	32	1770
18	34	1787
19	36	1780
20	37	1763
21	39	1744
22	40	1731
23	42	1716
24	43	1704
25	45	1690
26	47	1714
27	49	1723
28	51	1710
29	53	1725
30	54	1715
31	56	1705
32	58	1700
33	59	1692
34	61	1688
35	64	1722
36	65	1715
37	67	1710
38	69	1704
39	70	1698
40	72	1694
41	74	1691
42	75	1684
43	78	1709
44	80	1705
45	81	1699
46	83	1690
47	85	1686
48	86	1683
49	88	1675
50	89	1666
51	91	1664
52	94	1690
53	96	1683
54	97	1676
55	99	1675
56	100	1670
57	102	1664
58	104	1659
59	105	1654
60	108	1669
61	109	1663
62	111	1656
63	113	1652
64	114	1647
65	115	1640
66	117	1633
67	118	1626
68	120	1619
69	122	1631
70	124	1625
71	125	1620
72	127	1616
73	128	1612
74	130	1609
75	132	1604
76	133	1598
77	134	1592
78	137	1605
79	139	1604
80	141	1601
81	142	1599
82	144	1596
83	145	1591
84	147	1586
85	148	1582
86	151	1590
87	153	1592
88	155	1588
89	156	1585
90	158	1583
91	160	1579
92	161	1574
93	164	1587
94	169	1610
95	170	1606
96	172	1608
97	174	1603
98	175	1599
99	178	1609
100	182	1623
101	184	1626
102	186	1624
103	188	1621
104	189	1617
105	191	1612
106	192	1609
107	195	1611
108	198	1622
109	200	1621
110	202	1619
111	203	1616
112	205	1614
113	207	1610
114	209	1608
115	210	1605
116	214	1616
117	216	1615
118	217	1612
119	219	1609
120	221	1605
121	222	1602
122	224	1598
123	227	1610
124	229	1609
125	231	1606
126	233	1601
127	234	1597
128	236	1593
129	237	1590
130	239	1586
131	244	1606
132	246	1604
133	247	1601
134	249	1599
135	251	1595
136	252	1591
137	254	1588
138	258	1601
139	260	1600
140	262	1597
141	264	1595
142	265	1593
143	267	1592
144	269	1589
145	273	1599
146	275	1597
147	276	1594
148	278	1592
149	280	1589
150	282	1586
151	283	1583
152	286	1587
153	289	1589
154	290	1585
155	292	1581
156	293	1577
157	295	1574
158	297	1572
159	298	1569
160	301	1569
161	303	1570
162	305	1566
163	306	1562
164	308	1559
165	309	1556
166	311	1555
167	313	1552
168	315	1550
169	317	1552
170	319	1549
171	321	1546
172	322	1544
173	324	1540
174	326	1538
175	327	1534
176	329	1530
177	332	1533
178	333	1530
179	335	1527
180	337	1528
181	339	1525
182	341	1523
183	342	1520
184	344	1516
185	347	1519
186	349	1517
187	350	1515
188	352	1513
189	354	1513
190	356	1511
191	358	1509
192	363	1518
193	365	1518
194	367	1517
195	369	1515
196	371	1513
197	372	1510
198	374	1507
199	376	1507
200	378	1505
201	380	1502
202	382	1499
203	383	1496
204	385	1493
205	386	1490
206	388	1487
207	390	1487
208	392	1487
209	394	1484
210	396	1480
211	397	1477
212	399	1474
213	400	1471
214	402	1469
215	404	1466
216	407	1471
217	409	1468
218	411	1465
219	412	1462
220	414	1459
221	415	1457
222	417	1454
223	419	1452
224	422	1453
225	423	1451
226	425	1448
227	427	1446
228	428	1443
229	430	1441
230	432	1438
231	434	1437
232	436	1437
233	438	1435
234	440	1433
235	442	1431
236	444	1429
237	446	1428
238	447	1426
239	451	1429
240	453	1428
241	455	1427
242	457	1425
243	459	1424
244	461	1422
245	463	1420
246	466	1421
247	468	1419
248	470	1419
249	472	1418
250	474	1416
251	476	1414
252	479	1415
253	481	1414
254	483	1413
255	485	1411
256	487	1410
257	489	1407
258	491	1405
259	494	1406
260	496	1406
261	498	1404
262	500	1403
263	502	1402
264	505	1400
265	507	1399
266	511	1403
267	513	1401
268	515	1400
269	517	1399
270	519	1398
271	521	1395
272	529	1411
273	531	1409
274	533	1406
275	535	1404
276	537	1402
277	540	1404
278	543	1403
279	545	1401
280	547	1399
281	549	1398
282	551	1397
283	554	1397
284	556	1396
285	558	1394
286	560	1392
287	562	1391
288	564	1389
289	566	1387
290	570	1389
291	572	1387
292	573	1384
293	575	1382
294	577	1379
295	579	1377
296	580	1374
297	583	1375
298	585	1373
299	587	1371
300	589	1369
301	591	1367
302	593	1365
303	595	1363
304	597	1361
305	599	1360
306	601	1358
307	603	1355
308	604	1352
309	606	1349
310	608	1347
311	609	1344
312	611	1341
313	614	1341
314	616	1340
315	618	1338
316	620	1336
317	621	1333
318	623	1331
319	625	1328
320	627	1326
321	629	1325
322	631	1322
323	632	1320
324	634	1317
325	636	1315
326	637	1312
327	639	1310
328	641	1307
329	644	1307
330	645	1305
331	647	1302
332	649	1300
333	650	1297
334	652	1295
335	654	1292
336	656	1291
337	658	1290
338	660	1287
339	662	1285
340	664	1283
341	666	1281
342	668	1280
343	671	1280
344	673	1279
345	675	1277
346	677	1275
347	679	1273
348	681	1271
349	683	1269
350	686	1269
351	688	1268
352	691	1266
353	692	1264
354	694	1262
355	696	1260
356	698	1258
357	702	1259
358	704	1257
359	706	1255
360	708	1253
361	710	1251
362	712	1249
363	714	1247
364	718	1250
365	720	1247
366	722	1246
367	724	1244
368	726	1242
369	728	1239
370	730	1238
371	733	1238
372	736	1237
373	738	1236
374	740	1234
375	743	1233
376	749	1237
377	751	1236
378	753	1235
379	755	1233
380	758	1231
381	761	1231
382	763	1230
383	765	1227
384	767	1226
385	769	1223
386	771	1222
387	773	1220
388	776	1219
389	778	1217
390	780	1215
391	782	1213
392	783	1210
393	785	1208
394	787	1206
395	789	1204
396	793	1204
397	794	1202
398	796	1199
399	798	1197
400	800	1195
401	802	1193
402	804	1191
403	807	1191
404	809	1189
405	811	1187
406	813	1185
407	815	1182
408	816	1180
409	818	1178
410	821	1177
411	823	1175
412	825	1173
413	827	1170
414	828	1168
415	830	1166
416	832	1163
417	834	1161
418	837	1161
419	839	1159
420	841	1157
421	843	1154
422	844	1152
423	846	1150
424	848	1147
425	851	1147
426	853	1145
427	855	1142
428	856	1140
429	858	1137
430	859	1134
431	861	1132
432	863	1130
433	865	1129
434	868	1127
435	869	1125
436	871	1123
437	873	1120
438	875	1118
439	876	1115
440	878	1113
441	882	1113
442	884	1111
443	886	1110
444	888	1107
445	889	1105
446	891	1102
447	893	1100
448	896	1099
449	898	1098
450	901	1096
451	902	1094
452	905	1092
453	907	1090
454	908	1088
455	912	1088
456	914	1086
457	916	1084
458	918	1082
459	920	1080
460	922	1078
461	924	1076
462	927	1076
463	929	1073
464	931	1071
465	933	1069
466	935	1067
467	937	1065
468	940	1064
469	942	1063
470	944	1061
471	946	1059
472	948	1057
473	950	1054
474	952	1052
475	956	1052
476	958	1050
477	960	1048
478	962	1046
479	964	1044
480	966	1042
481	968	1040
482	972	1040
483	974	1038
484	976	1036
485	978	1034
486	979	1032
487	981	1030
488	983	1028
489	986	1026
490	988	1024
491	990	1022
492	993	1021
493	995	1019
494	997	1017
495	1002	1018
496	1004	1016
497	1006	1014
498	1008	1012
499	1010	1010
500	1012	1008
501	1017	1009
502	1019	1007
503	1021	1005
504	1023	1003
505	1025	1001
506	1027	999
507	1031	999
508	1033	997
509	1035	995
510	1037	992
511	1039	990
512	1041	988
513	1043	986
514	1046	985
515	1048	983
516	1050	980
517	1051	978
518	1053	976
519	1055	973
520	1056	971
521	1058	969
522	1061	968
523	1063	966
524	1065	963
525	1067	961
526	1068	959
527	1070	956
528	1071	954
529	1073	952
530	1077	951
531	1078	949
532	1080	946
533	1082	944
534	1083	941
535	1085	939
536	1087	937
537	1090	936
538	1092	934
539	1094	932
540	1096	930
541	1098	928
542	1100	926
543	1102	923
544	1106	923
545	1108	921
546	1110	920
547	1113	918
548	1115	916
549	1116	913
550	1119	912
551	1121	910
552	1123	908
553	1125	905
554	1127	903
555	1129	901
556	1130	899
557	1133	897
558	1136	896
559	1138	894
560	1140	892
561	1143	891
562	1145	889
563	1147	886
564	1150	885
565	1152	883
566	1154	881
567	1156	879
568	1158	877
569	1160	875
570	1162	873
571	1165	871
572	1167	870
573	1169	868
574	1172	866
575	1174	864
576	1175	862
577	1177	859
578	1181	859
579	1183	857
580	1185	855
581	1187	853
582	1189	850
583	1191	848
584	1194	847
585	1196	845
586	1198	843
587	1200	841
588	1203	839
589	1205	837
590	1207	835
591	1210	834
592	1212	832
593	1214	830
594	1216	828
595	1218	825
596	1220	824
597	1222	821
598	1226	820
599	1228	818
600	1230	816
601	1232	814
602	1234	812
603	1236	810
604	1239	809
605	1241	807
606	1243	805
607	1246	803
608	1248	801
609	1250	799
610	1252	797
611	1256	796
612	1258	794
613	1260	792
614	1263	790
615	1265	788
616	1268	787
617	1271	785
618	1273	783
619	1275	781
620	1278	780
621	1281	778
622	1285	777
623	1287	775
624	1289	773
625	1292	772
626	1294	770
627	1296	768
628	1299	766
629	1301	764
630	1304	762
631	1306	760
632	1308	758
633	1310	756
634	1315	755
635	1317	754
636	1319	751
637	1321	750
638	1324	748
639	1327	746
640	1330	745
641	1333	743
642	1336	741
643	1338	740
644	1340	737
645	1344	736
646	1346	734
647	1348	732
648	1350	730
649	1352	728
650	1354	726
651	1357	724
652	1359	722
653	1362	720
654	1364	718
655	1366	716
656	1367	714
657	1369	711
658	1371	709
659	1374	708
660	1376	706
661	1378	703
662	1380	701
663	1382	699
664	1384	697
665	1386	695
666	1389	693
667	1391	691
668	1393	689
669	1396	687
670	1398	685
671	1404	685
672	1406	683
673	1409	681
674	1412	679
675	1414	677
676	1419	677
677	1422	675
678	1424	673
679	1426	671
680	1428	669
681	1433	668
682	1435	666
683	1438	664
684	1441	662
685	1443	660
686	1445	658
687	1449	657
688	1452	655
689	1454	653
690	1456	651
691	1459	649
692	1461	647
693	1464	645
694	1467	643
695	1469	641
696	1473	640
697	1476	638
698	1480	637
699	1482	635
700	1484	633
701	1486	631
702	1488	629
703	1491	627
704	1494	625
705	1495	622
706	1497	620
707	1500	618
708	1503	617
709	1505	614
710	1508	613
711	1510	610
712	1512	608
713	1515	606
714	1516	604
715	1518	602
716	1522	600
717	1524	598
718	1527	596
719	1529	594
720	1531	592
721	1534	590
722	1537	589
723	1540	587
724	1542	585
725	1545	583
726	1547	581
727	1552	580
728	1554	578
729	1557	575
730	1559	573
731	1561	571
732	1564	569
733	1567	568
734	1569	565
735	1572	563
736	1574	561
737	1577	559
738	1580	558
739	1583	556
740	1585	554
741	1587	551
742	1589	549
743	1591	547
744	1594	545
745	1597	543
746	1599	541
747	1601	539
748	1603	537
749	1605	535
750	1608	533
751	1611	531
752	1614	529
753	1616	527
754	1618	525
755	1621	523
756	1623	521
757	1627	519
758	1629	517
759	1631	515
760	1633	513
761	1635	510
762	1637	508
763	1640	506
764	1642	504
765	1644	502
766	1646	500
767	1648	497
768	1649	495
769	1651	493
770	1653	491
771	1657	489
772	1659	487
773	1661	485
774	1663	483
775	1665	480
776	1667	478
777	1671	476
778	1673	474
779	1675	472
780	1677	470
781	1680	468
782	1682	466
783	1685	464
784	1687	462
785	1689	460
786	1691	457
787	1693	455
788	1695	453
789	1699	451
790	1702	449
791	1704	447
792	1706	445
793	1708	443
794	1710	441
795	1712	438
796	1715	437
797	1718	434
798	1720	432
799	1722	430
800	1724	428
801	1726	426
802	1730	424
803	1732	422
804	1734	420
805	1737	418
806	1739	415
807	1741	413
808	1743	411
809	1746	409
810	1748	407
811	1751	405
812	1753	403
813	1755	401
814	1757	399
815	1761	397
816	1763	395
817	1766	392
818	1769	391
819	1773	389
820	1775	387
821	1777	384
822	1779	382
823	1782	380
824	1785	378
825	1787	376
826	1789	374
827	1791	372
828	1794	370
829	1796	367
830	1798	365
831	1802	363
832	1804	361
833	1807	359
834	1809	357
835	1811	355
836	1813	353
837	1816	351
838	1819	349
839	1821	346
840	1824	344
841	1826	342
842	1829	340
843	1831	338
844	1834	336
845	1837	334
846	1839	332
847	1841	330
848	1844	327
849	1846	325
850	1848	323
851	1851	321
852	1853	319
853	1856	317
854	1860	315
855	1862	313
856	1864	311
857	1867	309
858	1870	307
859	1872	304
860	1876	302
861	1878	300
862	1880	298
863	1882	296
864	1884	294
865	1886	291
866	1888	289
867	1891	287
868	1892	285
869	1894	283
870	1896	280
871	1898	278
872	1899	276
873	1901	274
874	1903	271
875	1906	269
876	1908	267
877	1909	265
878	1911	263
879	1913	260
880	1915	258
881	1917	256
882	1920	254
883	1922	252
884	1923	249
885	1925	247
886	1927	245
887	1928	243
888	1930	241
889	1932	238
890	1934	236
891	1936	234
892	1938	232
893	1940	230
894	1942	227
895	1945	225
896	1948	223
897	1951	221
898	1954	219
899	1956	217
900	1958	215
901	1960	213
902	1964	211
903	1967	208
904	1969	206
905	1971	204
906	1974	202
907	1976	200
908	1980	198
909	1982	196
910	1984	193
911	1986	191
912	1988	189
913	1991	187
914	1995	185
915	1997	183
916	1999	180
917	2001	178
918	2003	176
919	2006	174
920	2011	172
921	2013	170
922	2015	168
923	2017	165
924	2019	163
925	2021	161
926	2025	159
927	2027	157
928	2030	155
929	2032	152
930	2034	150
931	2036	148
932	2040	146
933	2043	144
934	2045	142
935	2047	140
936	2049	137
937	2051	135
938	2055	133
939	2057	131
940	2059	129
941	2060	126
942	2062	124
943	2064	122
944	2066	120
945	2070	118
946	2072	115
947	2074	113
948	2076	111
949	2078	109
950	2081	107
951	2083	105
952	2086	102
953	2089	100
954	2091	98
955	2093	96
